date,code,name
2022-05-10,2393,日本ケアサプライ
2022-05-10,2432,ディー・エヌ・エー
2022-05-10,2479,ジェイテック
2022-05-10,2607,不二製油
2022-05-10,2730,エディオン
2022-05-10,2733,あらた
2022-05-10,2767,円谷フィールズホールディングス
2022-05-10,2782,セリア
2022-05-10,2871,ニチレイ
2022-05-10,2883,大冷
2022-05-10,2903,シノブフーズ
2022-05-10,3059,ヒラキ
2022-05-10,3133,海帆
2022-05-10,3143,オーウイル
2022-05-10,3166,ＯＣＨＩホールディングス
2022-05-10,3167,ＴＯＫＡＩホールディングス
2022-05-10,3190,ホットマン
2022-05-10,3294,イーグランド
2022-05-10,3360,シップヘルスケアホールディングス
2022-05-10,3371,ソフトクリエイトホールディングス
2022-05-10,3422,Ｊ－ＭＡＸ
2022-05-10,3433,トーカロ
2022-05-10,3553,共和レザー
2022-05-10,3580,小松マテーレ
2022-05-10,3583,オーベクス
2022-05-10,3634,ソケッツ
2022-05-10,3802,エコミック
2022-05-10,3837,アドソル日進
2022-05-10,3934,ベネフィットジャパン
2022-05-10,4041,日本曹達
2022-05-10,4109,ステラ　ケミファ
2022-05-10,4366,ダイトーケミックス
2022-05-10,4483,ＪＭＤＣ
2022-05-10,4491,コンピューターマネージメント
2022-05-10,4536,参天製薬
2022-05-10,4540,ツムラ
2022-05-10,4547,キッセイ薬品工業
2022-05-10,4624,イサム塗料
2022-05-10,4674,クレスコ
2022-05-10,4705,クリップコーポレーション
2022-05-10,4719,アルファシステムズ
2022-05-10,4732,ユー・エス・エス
2022-05-10,4800,オリコン
2022-05-10,4888,ステラファーマ
2022-05-10,4960,ケミプロ化成
2022-05-10,4980,デクセリアルズ
2022-05-10,5011,ニチレキグループ
2022-05-10,5019,出光興産
2022-05-10,5288,アジアパイルホールディングス
2022-05-10,5331,ノリタケ
2022-05-10,5391,エーアンドエーマテリアル
2022-05-10,5401,日本製鉄
2022-05-10,5408,中山製鋼所
2022-05-10,5451,ヨドコウ
2022-05-10,5461,中部鋼鈑
2022-05-10,5464,モリ工業
2022-05-10,5535,ミガロホールディングス
2022-05-10,5541,大平洋金属
2022-05-10,5603,虹技
2022-05-10,5713,住友金属鉱山
2022-05-10,5727,東邦チタニウム
2022-05-10,5821,平河ヒューテック
2022-05-10,5831,しずおかフィナンシャルグループ
2022-05-10,5909,コロナ
2022-05-10,5939,大谷工業
