"コード","銘柄名","市場","現在値","前日比(%)","ベータ(対TOPIX)"
"3140","ＢＲＵＮＯ","東G","1049","-1.0(-0.10%)","0.21"
"3143","オーウイル","東S","656","-27.0(-3.95%)","0.73"
"3148","クリエイトＳＤ　ＨＬＤＧ","東P","3200","-40.0(-1.23%)","0.38"
"3150","グリムス","東P","2471","-453.0(-15.49%)","0.75"
"3151","バイタルケーエスケーＨＬＤＧ","東P","1477","+36.0(+2.50%)","0.60"
"3153","八洲電機","東P","2830","-12.0(-0.42%)","1.08"
"3154","メディアスＨＬＤＧ","東P","842","-9.0(-1.06%)","0.75"
"3156","レスター","東P","3495","+30.0(+0.87%)","0.99"
"3157","ジオリーブグループ","東S","1425","-12.0(-0.84%)","0.41"
"3159","丸善ＣＨＩ　ＨＬＤＧ","東S","347","+0.0(+0.00%)","0.28"
"3160","大光","東S","587","-1.0(-0.17%)","0.36"
"3161","アゼアス","東S","676","-4.0(-0.59%)","0.44"
"3166","ＯＣＨＩ　ＨＬＤＧ","東S","1374","-12.0(-0.87%)","0.43"
"3167","ＴＯＫＡＩ　ＨＬＤＧ","東P","1126","-4.0(-0.35%)","0.37"
"3168","ＭＥＲＦ","東S","1543","-126.0(-7.55%)","0.86"
"3169","ミサワ","東S","652","+0.0(+0.00%)","0.33"
"3172","ティーライフ","東S","1152","-1.0(-0.09%)","0.46"
"3173","Ｃｏｍｉｎｉｘ","東S","970","+48.0(+5.21%)","0.30"
"3174","ハピネス・アンド・ディ","東S","510","-3.0(-0.58%)","0.18"
"3175","エー・ピーＨＬＤＧ","東S","921","+5.0(+0.55%)","0.36"
"3176","三洋貿易","東P","1553","-33.0(-2.08%)","0.85"
"3177","ありがとうサービス","東S","3500","-5.0(-0.14%)","0.58"
"3178","チムニー","東S","1161","-12.0(-1.02%)","0.49"
"3179","シュッピン","東P","1021","+4.0(+0.39%)","0.78"
"3180","ビューティガレージ","東P","1456","-58.0(-3.83%)","0.76"
"3181","買取王国","東S","980","+0.0(+0.00%)","0.64"
"3182","オイシックス・ラ・大地","東P","1463","-47.0(-3.11%)","0.79"
