
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"株式信用","2026年05月18日","2026年05月29日","353","1","353"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/05/18","Ｓａｎｓａｎ","4443","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,1341.8,20,--,"2026/05/20",3360
"2026/05/18","Ｓａｎｓａｎ","4443","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,1341.1,20,--,"2026/05/20",3290
"2026/05/18","Ｓａｎｓａｎ","4443","PTS（J）",信用返済売,"無期限"," 特定 ","申告",100,1341.4,20,--,"2026/05/20",3320
"2026/05/18","Ｓａｎｓａｎ","4443","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,1341,20,--,"2026/05/20",3280
"2026/05/18","Ｓａｎｓａｎ","4443","PTS（J）",信用返済売,"無期限"," 特定 ","申告",100,1341.2,20,--,"2026/05/20",3300
"2026/05/18","Ｓａｎｓａｎ","4443","PTS（J）",信用返済売,"無期限"," 特定 ","申告",100,1341.1,20,--,"2026/05/20",3290
"2026/05/18","Ｓａｎｓａｎ","4443","PTS（X）",信用返済売,"無期限"," 特定 ","申告",200,1341.6,40,--,"2026/05/20",6680
"2026/05/18","Ｓａｎｓａｎ","4443","PTS（X）",信用返済売,"無期限"," 特定 ","申告",300,1341.7,60,--,"2026/05/20",10050
"2026/05/18","Ｓａｎｓａｎ","4443","PTS（J）",信用返済売,"無期限"," 特定 ","申告",200,1341.5,40,--,"2026/05/20",6660
"2026/05/18","Ｓａｎｓａｎ","4443","東証",信用返済売,"無期限"," 特定 ","申告",100,1341,20,--,"2026/05/20",3280
"2026/05/18","Ｓａｎｓａｎ","4443","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,1341.8,20,--,"2026/05/20",3360
"2026/05/18","Ｓａｎｓａｎ","4443","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,1341.1,20,--,"2026/05/20",3290
"2026/05/18","日本ケミコン","6997","東証",信用返済売,"無期限"," 特定 ","申告",100,2941,79,--,"2026/05/20",-49329
"2026/05/18","日本ケミコン","6997","東証",信用返済売,"無期限"," 特定 ","申告",100,2941,79,--,"2026/05/20",-49379
"2026/05/18","日本ケミコン","6997","東証",信用返済売,"無期限"," 特定 ","申告",100,2941,79,--,"2026/05/20",-49379
"2026/05/18","日本ケミコン","6997","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2941.1,79,--,"2026/05/20",-49369
"2026/05/18","日本ケミコン","6997","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,2941.4,79,--,"2026/05/20",-49339
"2026/05/18","日本ケミコン","6997","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2941.6,45,--,"2026/05/20",-4985
"2026/05/18","日本ケミコン","6997","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2941.5,79,--,"2026/05/20",-49329
"2026/05/18","ニッポン高度紙工業","3891","東証",信用新規買,"無期限"," 特定 ","--",400,6430,--,--,"2026/05/20",--
"2026/05/18","ステラ　ケミファ","4109","PTS（X）",信用新規買,"無期限"," 特定 ","--",100,6683,--,--,"2026/05/20",--
"2026/05/18","ステラ　ケミファ","4109","PTS（X）",信用新規買,"無期限"," 特定 ","--",100,6682,--,--,"2026/05/20",--
"2026/05/18","ステラ　ケミファ","4109","東証",信用新規買,"無期限"," 特定 ","--",200,6680,--,--,"2026/05/20",--
"2026/05/18","オキサイド","6521","東証",信用新規買,"無期限"," 特定 ","--",300,6780,--,--,"2026/05/20",--
"2026/05/18","能美防災","6744","PTS（X）",信用新規買,"無期限"," 特定 ","--",300,4718.5,--,--,"2026/05/20",--
"2026/05/18","能美防災","6744","PTS（X）",信用新規買,"無期限"," 特定 ","--",200,4718,--,--,"2026/05/20",--
"2026/05/18","能美防災","6744","東証",信用新規買,"無期限"," 特定 ","--",200,4710,--,--,"2026/05/20",--
"2026/05/18","太陽誘電","6976","東証",信用新規買,"無期限"," 特定 ","--",300,7194,--,--,"2026/05/20",--
"2026/05/19","ステラ　ケミファ","4109","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,6515,102,--,"2026/05/21",-16602
"2026/05/19","オキサイド","6521","東証",信用返済売,"無期限"," 特定 ","申告",300,5780,312,--,"2026/05/21",-300312
"2026/05/19","朝日インテック","7747","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,3565,78,--,"2026/05/21",17422
"2026/05/19","朝日インテック","7747","東証",信用返済売,"無期限"," 特定 ","申告",100,3565,78,--,"2026/05/21",16022
"2026/05/19","朝日インテック","7747","東証",信用返済売,"無期限"," 特定 ","申告",100,3565,78,--,"2026/05/21",16062
"2026/05/19","朝日インテック","7747","東証",信用返済売,"無期限"," 特定 ","申告",100,3565,78,--,"2026/05/21",16072
"2026/05/19","朝日インテック","7747","東証",信用返済売,"無期限"," 特定 ","申告",100,3565,78,--,"2026/05/21",16052
"2026/05/19","朝日インテック","7747","東証",信用返済売,"無期限"," 特定 ","申告",100,3565,78,--,"2026/05/21",16032
"2026/05/19","朝日インテック","7747","東証",信用返済売,"無期限"," 特定 ","申告",100,3565,78,--,"2026/05/21",16092
