
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"株式信用","2026年05月01日","2026年05月08日","55","1","55"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/05/01","ＱＰＳホールディングス","464A","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,2534,335,--,"2026/05/08",-20025
"2026/05/01","ＱＰＳホールディングス","464A","東証",信用返済売,"無期限"," 特定 ","申告",200,2534,675,--,"2026/05/08",-43875
"2026/05/01","ＱＰＳホールディングス","464A","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2534,335,--,"2026/05/08",-19975
"2026/05/01","ＱＰＳホールディングス","464A","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2534,337,--,"2026/05/08",-21937
"2026/05/01","ＱＰＳホールディングス","464A","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2534,335,--,"2026/05/08",-19965
"2026/05/01","ＱＰＳホールディングス","464A","PTS（J）",信用返済売,"無期限"," 特定 ","申告",100,2534,335,--,"2026/05/08",-19975
"2026/05/01","ＱＰＳホールディングス","464A","東証",信用返済売,"無期限"," 特定 ","申告",100,2534,337,--,"2026/05/08",-21937
"2026/05/01","スカパーＪＳＡＴ","9412","PTS（J）",信用返済売,"無期限"," 特定 ","申告",100,3510.5,203,--,"2026/05/08",19347
"2026/05/01","スカパーＪＳＡＴ","9412","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,3510.5,204,--,"2026/05/08",17046
"2026/05/01","スカパーＪＳＡＴ","9412","PTS（O）",信用返済売,"無期限"," 特定 ","申告",200,3510,409,--,"2026/05/08",33991
"2026/05/01","スカパーＪＳＡＴ","9412","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,3510,204,--,"2026/05/08",16996
"2026/05/01","スカパーＪＳＡＴ","9412","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,3510,203,--,"2026/05/08",19297
"2026/05/01","アストロスケールホールディングス","186A","東証",信用新規買,"無期限"," 特定 ","--",1100,1310,--,--,"2026/05/08",--
"2026/05/01","ダイダン","1980","東証",信用新規買,"無期限"," 特定 ","--",400,2905,--,--,"2026/05/08",--
"2026/05/01","新明和工業","7224","東証",信用新規買,"無期限"," 特定 ","--",300,2594,--,--,"2026/05/08",--
"2026/05/01","新明和工業","7224","PTS（X）",信用新規買,"無期限"," 特定 ","--",100,2613.4,--,--,"2026/05/08",--
"2026/05/01","新明和工業","7224","PTS（X）",信用新規買,"無期限"," 特定 ","--",100,2613.1,--,--,"2026/05/08",--
"2026/05/01","新明和工業","7224","PTS（X）",信用新規買,"無期限"," 特定 ","--",100,2613.3,--,--,"2026/05/08",--
"2026/05/01","ＴＯＰＰＡＮホールディングス","7911","東証",信用新規買,"無期限"," 特定 ","--",300,5080,--,--,"2026/05/08",--
"2026/05/07","ダイダン","1980","東証",信用返済売,"無期限"," 特定 ","申告",200,2998,178,--,"2026/05/11",18422
"2026/05/07","ダイダン","1980","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2998,89,--,"2026/05/11",9211
"2026/05/07","ダイダン","1980","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,2998,89,--,"2026/05/11",9211
"2026/05/07","イビデン","4062","東証",信用返済売,"無期限"," 特定 ","申告",100,16375,125,--,"2026/05/11",-75
"2026/05/07","電通総研","4812","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2126.6,181,--,"2026/05/11",-2421
"2026/05/07","電通総研","4812","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,2126.5,181,--,"2026/05/11",-2431
"2026/05/07","電通総研","4812","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2126.5,181,--,"2026/05/11",-2431
"2026/05/07","電通総研","4812","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2126.1,83,--,"2026/05/11",-6373
"2026/05/07","電通総研","4812","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2126.7,181,--,"2026/05/11",-2411
"2026/05/07","電通総研","4812","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,2126.1,84,--,"2026/05/11",-8274
"2026/05/07","電通総研","4812","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,2126.6,181,--,"2026/05/11",-2421
"2026/05/07","電通総研","4812","東証",信用返済売,"無期限"," 特定 ","申告",100,2126,83,--,"2026/05/11",-5423
"2026/05/07","電通総研","4812","東証",信用返済売,"無期限"," 特定 ","申告",200,2126,362,--,"2026/05/11",-5162
"2026/05/07","ＴＯＰＰＡＮホールディングス","7911","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,5348,155,--,"2026/05/11",26645
"2026/05/07","ＴＯＰＰＡＮホールディングス","7911","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,5348.1,155,--,"2026/05/11",26655
"2026/05/07","ＴＯＰＰＡＮホールディングス","7911","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,5347.7,155,--,"2026/05/11",26615
"2026/05/07","アストロスケールホールディングス","186A","東証",信用新規買,"無期限"," 特定 ","--",100,1413,--,--,"2026/05/11",--
"2026/05/07","ＭｏｎｏｔａＲＯ","3064","PTS（X）",信用新規買,"無期限"," 特定 ","--",200,1840.5,--,--,"2026/05/11",--
"2026/05/07","ＭｏｎｏｔａＲＯ","3064","PTS（X）",信用新規買,"無期限"," 特定 ","--",300,1817.5,--,--,"2026/05/11",--
"2026/05/07","ＭｏｎｏｔａＲＯ","3064","PTS（X）",信用新規買,"無期限"," 特定 ","--",100,1817.3,--,--,"2026/05/11",--
"2026/05/07","ＭｏｎｏｔａＲＯ","3064","PTS（X）",信用新規買,"無期限"," 特定 ","--",400,1817.2,--,--,"2026/05/11",--
"2026/05/07","ＭｏｎｏｔａＲＯ","3064","東証",信用新規買,"無期限"," 特定 ","--",200,1817.5,--,--,"2026/05/11",--
"2026/05/07","ＭｏｎｏｔａＲＯ","3064","東証",信用新規買,"無期限"," 特定 ","--",100,1816.5,--,--,"2026/05/11",--
"2026/05/07","日東紡績","3110","東証",信用新規買,"無期限"," 特定 ","--",100,31950,--,--,"2026/05/11",--
"2026/05/07","イビデン","4062","PTS（X）",信用新規買,"無期限"," 特定 ","--",100,16374.5,--,--,"2026/05/11",--
"2026/05/07","ナブテスコ","6268","東証",信用新規買,"無期限"," 特定 ","--",100,5253,--,--,"2026/05/11",--
"2026/05/07","新明和工業","7224","東証",信用新規買,"無期限"," 特定 ","--",200,2695,--,--,"2026/05/11",--
"2026/05/07","琉球銀行","8399","東証",信用返済買,"6ヶ月"," 特定 ","申告",100,2564,185,--,"2026/05/11",-10585
"2026/05/07","琉球銀行","8399","PTS（X）",信用返済買,"6ヶ月"," 特定 ","申告",100,2563.9,185,--,"2026/05/11",-10435
"2026/05/07","琉球銀行","8399","PTS（O）",信用返済買,"6ヶ月"," 特定 ","申告",100,2563.9,185,--,"2026/05/11",-10455
"2026/05/07","琉球銀行","8399","PTS（J）",信用返済買,"6ヶ月"," 特定 ","申告",100,2563.9,185,--,"2026/05/11",-10445
"2026/05/07","琉球銀行","8399","PTS（X）",信用返済買,"6ヶ月"," 特定 ","申告",100,2565.9,38,--,"2026/05/11",-3758
"2026/05/07","琉球銀行","8399","PTS（X）",信用返済買,"6ヶ月"," 特定 ","申告",100,2563.8,185,--,"2026/05/11",-10435
"2026/05/07","琉球銀行","8399","東証",信用返済買,"6ヶ月"," 特定 ","申告",100,2565,128,--,"2026/05/11",-20228
