ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,106815941.0000,1051000,20260917

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,23600.0000000000,4060
1812,KAJIMA CORP,JP3210200006,TSE,JPY,16400.0000000000,4950
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,10800.0000000000,4557
1944,KINDEN CORP,JP3263000006,TSE,JPY,12800.0000000000,6869
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,1000.0000000000,50780
3038,KOBE BUSSAN CO LTD,JP3291200008,TSE,JPY,19800.0000000000,3080
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,116700.0000000000,1957
3563,FOOD & LIFE COMPAN,JP3397150008,TSE,JPY,14300.0000000000,4846
3769,GMO PAYMENT GATEWA,JP3385890003,TSE,JPY,2700.0000000000,8678
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,5400.0000000000,6340
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,28400.0000000000,1817
4061,DENKA COMPANY LTD,JP3549600009,TSE,JPY,8300.0000000000,3351
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,4600.0000000000,5820
4403,NOF CORP,JP3753400005,TSE,JPY,12100.0000000000,2582.5
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,500.0000000000,12370
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,6700.0000000000,6446
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,17000.0000000000,2839
4661,ORIENTAL LAND CO,JP3198900007,TSE,JPY,25700.0000000000,3002
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,10800.0000000000,1996
4684,OBIC CO LTD,JP3173400007,TSE,JPY,21800.0000000000,5065
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,16400.0000000000,4295
4919,MILBON CO LTD,JP3910650005,TSE,JPY,19300.0000000000,3170
5076,INFRONEER HLDGS IN,JP3153850007,TSE,JPY,18000.0000000000,2860
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,12600.0000000000,7107
5803,FUJIKURA,JP3811000003,TSE,JPY,5900.0000000000,4839
6005,MIURA CO LTD,JP3880800002,TSE,JPY,7000.0000000000,3128
6055,JAPAN MATERIAL CO,JP3389680004,TSE,JPY,8800.0000000000,2148
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,10900.0000000000,17155
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,5400.0000000000,6903
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,200.0000000000,51000
6278,UNION TOOL CO,JP3950600001,TSE,JPY,1100.0000000000,12990
6301,KOMATSU,JP3304200003,TSE,JPY,1100.0000000000,7045
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,900.0000000000,3295
6361,EBARA CORP,JP3166000004,TSE,JPY,12200.0000000000,4300
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,600.0000000000,20510
6480,NIPPON THOMPSON CO,JP3739400004,TSE,JPY,18500.0000000000,1680
6501,HITACHI,JP3788600009,TSE,JPY,34800.0000000000,5372
6504,FUJI ELECTRIC CO.,JP3820000002,TSE,JPY,2200.0000000000,12815
6702,FUJITSU,JP3818000006,TSE,JPY,18500.0000000000,3934
6758,SONY GROUP CORPORA,JP3435000009,TSE,JPY,50600.0000000000,3719
6762,TDK CORP,JP3538800008,TSE,JPY,5700.0000000000,2872
6845,AZBIL CORP,JP3937200008,TSE,JPY,6700.0000000000,1459.5
6857,ADVANTEST CORP,JP3122400009,TSE,JPY,2400.0000000000,30700
6861,KEYENCE CORP,JP3236200006,TSE,JPY,700.0000000000,75625
6951,JEOL LTD,JP3735000006,TSE,JPY,4000.0000000000,7119
6954,FANUC CORP,JP3802400006,TSE,JPY,13300.0000000000,5838
6961,ENPLAS CORP,JP3169800004,TSE,JPY,3200.0000000000,9750
6981,MURATA MFG CO,JP3914400001,TSE,JPY,19200.0000000000,7633
7182,JAPAN POST BANK CO,JP3946750001,TSE,JPY,7600.0000000000,3258
7202,ISUZU MOTORS,JP3137200006,TSE,JPY,30300.0000000000,2195.5
7203,TOYOTA MOTOR CORP,JP3633400001,TSE,JPY,78000.0000000000,3016
7366,LITALICO INC,JP3974470001,TSE,JPY,9900.0000000000,1853
7532,PAN PACIFIC INTL H,JP3639650005,TSE,JPY,71200.0000000000,719.6
7550,ZENSHO HOLDINGS,JP3429300001,TSE,JPY,7500.0000000000,10980
7730,MANI INC,JP3869920003,TSE,JPY,15000.0000000000,1457
7741,HOYA CORP,JP3837800006,TSE,JPY,2900.0000000000,22390
7747,ASAHI INTECC CO LT,JP3110650003,TSE,JPY,3700.0000000000,3271
7832,BANDAI NAMCO HLDGS,JP3778630008,TSE,JPY,1500.0000000000,5463
7936,ASICS CORP,JP3118000003,TSE,JPY,35900.0000000000,4013
8001,ITOCHU CORP,JP3143600009,TSE,JPY,11900.0000000000,2322.5
8002,MARUBENI CORP,JP3877600001,TSE,JPY,2000.0000000000,4988
8015,TOYOTA TSUSHO CORP,JP3635000007,TSE,JPY,5000.0000000000,7386
8035,TOKYO ELECTRON,JP3571400005,TSE,JPY,400.0000000000,51690
8053,SUMITOMO CORP,JP3404600003,TSE,JPY,22600.0000000000,1786
8111,GOLDWIN INC,JP3306600002,TSE,JPY,9200.0000000000,2129.5
8306,MITSUBISHI UFJ FIN,JP3902900004,TSE,JPY,8300.0000000000,3655
8750,DAIICHI LIFE GP,JP3476480003,TSE,JPY,21600.0000000000,1895
8766,TOKIO MARINE HLDG,JP3910660004,TSE,JPY,8500.0000000000,8100
8830,SUMITOMO RLTY&DEV,JP3409000001,TSE,JPY,14500.0000000000,3193
9697,CAPCOM CO LTD,JP3218900003,TSE,JPY,4900.0000000000,4345
9766,KONAMI GROUP CORP,JP3300200007,TSE,JPY,800.0000000000,20675
9830,TRUSCO NAKAYAMA,JP3635500006,TSE,JPY,8700.0000000000,2409
9983,FAST RETAILING CO,JP3802300008,TSE,JPY,200.0000000000,67030
9984,SOFTBANK GROUP CO,JP3436100006,TSE,JPY,2200.0000000000,6183
