ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,166440438.0000,930000,20260306

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,7400.0000000000,4161
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,2000.0000000000,5297
2001,NIPPN CORPORATION,JP3723000000,TSE,JPY,10400.0000000000,2776
2802,AJINOMOTO CO INC,JP3119600009,TSE,JPY,1300.0000000000,4494
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,1800.0000000000,20300
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,26700.0000000000,1920
3382,SEVEN & I HOLDINGS,JP3422950000,TSE,JPY,43300.0000000000,2006
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,12600.0000000000,4225
3923,RAKUS CO LTD,JP3967170006,TSE,JPY,400.0000000000,817.2
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,2800.0000000000,9370
4046,OSAKA SODA CO LTD,JP3485900009,TSE,JPY,16000.0000000000,2099
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,7100.0000000000,6226
4071,PLUS ALPHA CONSULT,JP3832700003,TSE,JPY,600.0000000000,2208
4088,AIR WATER INC,JP3160670000,TSE,JPY,11000.0000000000,2070.5
4403,NOF CORP,JP3753400005,TSE,JPY,1800.0000000000,2972
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,1700.0000000000,10830
4516,NIPPON SHINYAKU CO,JP3717600005,TSE,JPY,9500.0000000000,4904
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,1300.0000000000,9727
4536,SANTEN PHARM CO,JP3336000009,TSE,JPY,33500.0000000000,1621.5
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,29100.0000000000,2844
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,4800.0000000000,2622
4617,CHUGOKU MAR PAINTS,JP3522600000,TSE,JPY,1400.0000000000,3955
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,18600.0000000000,1996.5
4684,OBIC CO LTD,JP3173400007,TSE,JPY,7000.0000000000,4042
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,4900.0000000000,3425
5334,NITERRA CO LTD,JP3738600000,TSE,JPY,2600.0000000000,7448
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,7200.0000000000,9331
5801,FURUKAWA ELECTRIC,JP3827200001,TSE,JPY,1700.0000000000,28465
5802,SUMITOMO ELECTRIC,JP3407400005,TSE,JPY,2300.0000000000,9975
5991,NHK SPRING CO LTD,JP3742600004,TSE,JPY,7900.0000000000,2769
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,20900.0000000000,6925
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,2100.0000000000,5647
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,100.0000000000,71660
6301,KOMATSU,JP3304200003,TSE,JPY,1700.0000000000,7134
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,2500.0000000000,3320
6361,EBARA CORP,JP3166000004,TSE,JPY,1600.0000000000,5239
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,5600.0000000000,19600
6383,DAIFUKU CO LTD,JP3497400006,TSE,JPY,1900.0000000000,5758
6501,HITACHI,JP3788600009,TSE,JPY,1300.0000000000,4860
6504,FUJI ELECTRIC CO.,JP3820000002,TSE,JPY,6200.0000000000,12135
6702,FUJITSU,JP3818000006,TSE,JPY,2700.0000000000,3496
6750,ELECOM CO,JP3168200008,TSE,JPY,10300.0000000000,1738
6754,ANRITSU CORP,JP3128800004,TSE,JPY,5000.0000000000,3025
6758,SONY GROUP CORPORA,JP3435000009,TSE,JPY,28300.0000000000,3380
6762,TDK CORP,JP3538800008,TSE,JPY,1300.0000000000,2194
6845,AZBIL CORP,JP3937200008,TSE,JPY,30000.0000000000,1418.5
6861,KEYENCE CORP,JP3236200006,TSE,JPY,500.0000000000,61310
6869,SYSMEX CORP,JP3351100007,TSE,JPY,12300.0000000000,1419
6871,MICRONICS JAPAN CO,JP3750400008,TSE,JPY,200.0000000000,11090
6951,JEOL LTD,JP3735000006,TSE,JPY,6800.0000000000,6437
6981,MURATA MFG CO,JP3914400001,TSE,JPY,27000.0000000000,3808
7182,JAPAN POST BANK CO,JP3946750001,TSE,JPY,8500.0000000000,2851
7202,ISUZU MOTORS,JP3137200006,TSE,JPY,10400.0000000000,2636
7203,TOYOTA MOTOR CORP,JP3633400001,TSE,JPY,59800.0000000000,3481
7366,LITALICO INC,JP3974470001,TSE,JPY,17200.0000000000,1312
7532,PAN PACIFIC INTL H,JP3639650005,TSE,JPY,71500.0000000000,1023.5
7730,MANI INC,JP3869920003,TSE,JPY,20000.0000000000,1576
7741,HOYA CORP,JP3837800006,TSE,JPY,2600.0000000000,28140
7747,ASAHI INTECC CO LT,JP3110650003,TSE,JPY,9300.0000000000,3210
7832,BANDAI NAMCO HLDGS,JP3778630008,TSE,JPY,11200.0000000000,4081
7846,PILOT CORP (NEW),JP3780610006,TSE,JPY,13000.0000000000,4501
7911,TOPPAN HOLDINGS IN,JP3629000005,TSE,JPY,1600.0000000000,5320
7936,ASICS CORP,JP3118000003,TSE,JPY,18200.0000000000,4560
8001,ITOCHU CORP,JP3143600009,TSE,JPY,5200.0000000000,2108.5
8015,TOYOTA TSUSHO CORP,JP3635000007,TSE,JPY,1800.0000000000,6457
8035,TOKYO ELECTRON,JP3571400005,TSE,JPY,100.0000000000,41720
8053,SUMITOMO CORP,JP3404600003,TSE,JPY,10300.0000000000,5953
8111,GOLDWIN INC,JP3306600002,TSE,JPY,22000.0000000000,2318
8306,MITSUBISHI UFJ FIN,JP3902900004,TSE,JPY,10700.0000000000,2735
8750,DAI-ICHI LIFE HOLD,JP3476480003,TSE,JPY,15800.0000000000,1523.5
8766,TOKIO MARINE HLDG,JP3910660004,TSE,JPY,1500.0000000000,6192
8830,SUMITOMO RLTY&DEV,JP3409000001,TSE,JPY,14900.0000000000,4975
9433,KDDI CORP,JP3496400007,TSE,JPY,6800.0000000000,2679
9697,CAPCOM CO LTD,JP3218900003,TSE,JPY,6600.0000000000,3302
9830,TRUSCO NAKAYAMA,JP3635500006,TSE,JPY,9600.0000000000,2395
9983,FAST RETAILING CO,JP3802300008,TSE,JPY,400.0000000000,64360
