ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,77088575.0000,960000,20260721

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,21600.0000000000,3401
1812,KAJIMA CORP,JP3210200006,TSE,JPY,6300.0000000000,5524
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,2000.0000000000,4582
1944,KINDEN CORP,JP3263000006,TSE,JPY,4800.0000000000,7084
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,1100.0000000000,52110
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,114000.0000000000,1944
3382,SEVEN & I HOLDINGS,JP3422950000,TSE,JPY,10500.0000000000,2080
3563,FOOD & LIFE COMPAN,JP3397150008,TSE,JPY,4600.0000000000,5409
3769,GMO PAYMENT GATEWA,JP3385890003,TSE,JPY,3800.0000000000,9892
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,6400.0000000000,6950
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,5500.0000000000,1769
4061,DENKA COMPANY LTD,JP3549600009,TSE,JPY,4900.0000000000,3598
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,14600.0000000000,7157
4403,NOF CORP,JP3753400005,TSE,JPY,7100.0000000000,2714.5
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,500.0000000000,10100
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,3500.0000000000,7325
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,19700.0000000000,2791
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,3300.0000000000,2666
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,5700.0000000000,2005
4684,OBIC CO LTD,JP3173400007,TSE,JPY,13400.0000000000,4267
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,16300.0000000000,3805
4919,MILBON CO LTD,JP3910650005,TSE,JPY,10000.0000000000,2834
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,13900.0000000000,7335
6005,MIURA CO LTD,JP3880800002,TSE,JPY,4400.0000000000,3156
6055,JAPAN MATERIAL CO,JP3389680004,TSE,JPY,7300.0000000000,2253
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,14400.0000000000,12820
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,6400.0000000000,7275
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,100.0000000000,64780
6301,KOMATSU,JP3304200003,TSE,JPY,1100.0000000000,6251
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,900.0000000000,3175
6361,EBARA CORP,JP3166000004,TSE,JPY,7700.0000000000,5384
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,600.0000000000,24500
6501,HITACHI,JP3788600009,TSE,JPY,23200.0000000000,4717
6504,FUJI ELECTRIC CO.,JP3820000002,TSE,JPY,2700.0000000000,12110
6702,FUJITSU,JP3818000006,TSE,JPY,18000.0000000000,3298
6758,SONY GROUP CORPORA,JP3435000009,TSE,JPY,49500.0000000000,3470
6762,TDK CORP,JP3538800008,TSE,JPY,1300.0000000000,2968
6845,AZBIL CORP,JP3937200008,TSE,JPY,6700.0000000000,1623.5
6857,ADVANTEST CORP,JP3122400009,TSE,JPY,300.0000000000,27505
6861,KEYENCE CORP,JP3236200006,TSE,JPY,500.0000000000,70880
6871,MICRONICS JAPAN CO,JP3750400008,TSE,JPY,1200.0000000000,13970
