ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,15697211.0000,960000,20260803

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,21600.0000000000,3627
1812,KAJIMA CORP,JP3210200006,TSE,JPY,8500.0000000000,5383
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,2000.0000000000,4678
1944,KINDEN CORP,JP3263000006,TSE,JPY,6200.0000000000,7090
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,3200.0000000000,46500
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,111000.0000000000,2003
3563,FOOD & LIFE COMPAN,JP3397150008,TSE,JPY,3400.0000000000,5559
3769,GMO PAYMENT GATEWA,JP3385890003,TSE,JPY,1900.0000000000,9881
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,8500.0000000000,6730
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,3500.0000000000,1826
4061,DENKA COMPANY LTD,JP3549600009,TSE,JPY,7900.0000000000,3430
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,13400.0000000000,5800
4403,NOF CORP,JP3753400005,TSE,JPY,7100.0000000000,2788.5
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,500.0000000000,12620
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,6700.0000000000,6932
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,16600.0000000000,2567.5
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,3300.0000000000,2832
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,5700.0000000000,1975
4684,OBIC CO LTD,JP3173400007,TSE,JPY,9700.0000000000,4525
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,13800.0000000000,4030
4919,MILBON CO LTD,JP3910650005,TSE,JPY,10000.0000000000,2781
5076,INFRONEER HLDGS IN,JP3153850007,TSE,JPY,13500.0000000000,2597
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,13900.0000000000,7490
5803,FUJIKURA,JP3811000003,TSE,JPY,7000.0000000000,4172
6005,MIURA CO LTD,JP3880800002,TSE,JPY,4400.0000000000,3217
6055,JAPAN MATERIAL CO,JP3389680004,TSE,JPY,8800.0000000000,2267
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,14400.0000000000,12550
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,12900.0000000000,7330
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,100.0000000000,58480
6301,KOMATSU,JP3304200003,TSE,JPY,1100.0000000000,6994
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,900.0000000000,3155
6361,EBARA CORP,JP3166000004,TSE,JPY,7700.0000000000,5558
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,600.0000000000,23295
6501,HITACHI,JP3788600009,TSE,JPY,26300.0000000000,5267
6504,FUJI ELECTRIC CO.,JP3820000002,TSE,JPY,2200.0000000000,14285
