ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,34397293.0000,960000,20260630

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,21600.0000000000,3278
1812,KAJIMA CORP,JP3210200006,TSE,JPY,6300.0000000000,5867
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,2000.0000000000,4452
1944,KINDEN CORP,JP3263000006,TSE,JPY,5600.0000000000,8030
2802,AJINOMOTO CO INC,JP3119600009,TSE,JPY,700.0000000000,5816
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,500.0000000000,88450
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,95500.0000000000,1829.5
3382,SEVEN & I HOLDINGS,JP3422950000,TSE,JPY,25500.0000000000,1953.5
3563,FOOD & LIFE COMPAN,JP3397150008,TSE,JPY,1400.0000000000,5055
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,3700.0000000000,9980
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,5500.0000000000,2059
4061,DENKA COMPANY LTD,JP3549600009,TSE,JPY,6800.0000000000,4360
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,15300.0000000000,6942
4403,NOF CORP,JP3753400005,TSE,JPY,7100.0000000000,2626.5
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,500.0000000000,12210
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,3500.0000000000,7574
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,21000.0000000000,2614
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,3300.0000000000,2670.5
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,23000.0000000000,2068
4684,OBIC CO LTD,JP3173400007,TSE,JPY,18000.0000000000,3812
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,13000.0000000000,3685
5334,NITERRA CO LTD,JP3738600000,TSE,JPY,600.0000000000,10710
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,13900.0000000000,7591
5802,SUMITOMO ELECTRIC,JP3407400005,TSE,JPY,2100.0000000000,2894.5
5991,NHK SPRING CO LTD,JP3742600004,TSE,JPY,1000.0000000000,3925
6005,MIURA CO LTD,JP3880800002,TSE,JPY,4400.0000000000,3162
6055,JAPAN MATERIAL CO,JP3389680004,TSE,JPY,10500.0000000000,2605
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,22800.0000000000,11295
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,6400.0000000000,8001
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,400.0000000000,79550
6301,KOMATSU,JP3304200003,TSE,JPY,1100.0000000000,6318
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,900.0000000000,3755
6361,EBARA CORP,JP3166000004,TSE,JPY,7200.0000000000,6164
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,1100.0000000000,24460
6383,DAIFUKU CO LTD,JP3497400006,TSE,JPY,500.0000000000,7001
6501,HITACHI,JP3788600009,TSE,JPY,6200.0000000000,4486
6504,FUJI ELECTRIC CO.,JP3820000002,TSE,JPY,2700.0000000000,13720
6702,FUJITSU,JP3818000006,TSE,JPY,12900.0000000000,3283
6758,SONY GROUP CORPORA,JP3435000009,TSE,JPY,42900.0000000000,3299
6762,TDK CORP,JP3538800008,TSE,JPY,1300.0000000000,3593
6845,AZBIL CORP,JP3937200008,TSE,JPY,13400.0000000000,1706
6857,ADVANTEST CORP,JP3122400009,TSE,JPY,1300.0000000000,31950
6861,KEYENCE CORP,JP3236200006,TSE,JPY,300.0000000000,78200
6871,MICRONICS JAPAN CO,JP3750400008,TSE,JPY,1200.0000000000,16650
6951,JEOL LTD,JP3735000006,TSE,JPY,5200.0000000000,7343
6954,FANUC CORP,JP3802400006,TSE,JPY,7400.0000000000,7051
6981,MURATA MFG CO,JP3914400001,TSE,JPY,26600.0000000000,10740
7182,JAPAN POST BANK CO,JP3946750001,TSE,JPY,24700.0000000000,3078
7202,ISUZU MOTORS,JP3137200006,TSE,JPY,13900.0000000000,2161
7203,TOYOTA MOTOR CORP,JP3633400001,TSE,JPY,95900.0000000000,2772
7366,LITALICO INC,JP3974470001,TSE,JPY,11600.0000000000,1565
7532,PAN PACIFIC INTL H,JP3639650005,TSE,JPY,92500.0000000000,826.4
7550,ZENSHO HOLDINGS,JP3429300001,TSE,JPY,2500.0000000000,8204
7730,MANI INC,JP3869920003,TSE,JPY,15300.0000000000,1730
7741,HOYA CORP,JP3837800006,TSE,JPY,700.0000000000,25805
7747,ASAHI INTECC CO LT,JP3110650003,TSE,JPY,2000.0000000000,3794
7832,BANDAI NAMCO HLDGS,JP3778630008,TSE,JPY,14600.0000000000,3834
7846,PILOT CORP (NEW),JP3780610006,TSE,JPY,12000.0000000000,1677.5
7936,ASICS CORP,JP3118000003,TSE,JPY,22800.0000000000,4487
8001,ITOCHU CORP,JP3143600009,TSE,JPY,15600.0000000000,1849.5
8002,MARUBENI CORP,JP3877600001,TSE,JPY,1500.0000000000,4713
8015,TOYOTA TSUSHO CORP,JP3635000007,TSE,JPY,9700.0000000000,5964
8035,TOKYO ELECTRON,JP3571400005,TSE,JPY,200.0000000000,74700
8053,SUMITOMO CORP,JP3404600003,TSE,JPY,26000.0000000000,1532.5
8111,GOLDWIN INC,JP3306600002,TSE,JPY,20200.0000000000,2185
8306,MITSUBISHI UFJ FIN,JP3902900004,TSE,JPY,18200.0000000000,3211
8750,DAIICHI LIFE GP,JP3476480003,TSE,JPY,45200.0000000000,1739
8766,TOKIO MARINE HLDG,JP3910660004,TSE,JPY,17000.0000000000,7248
8830,SUMITOMO RLTY&DEV,JP3409000001,TSE,JPY,10100.0000000000,3738
9433,KDDI CORP,JP3496400007,TSE,JPY,4200.0000000000,2717
9697,CAPCOM CO LTD,JP3218900003,TSE,JPY,11800.0000000000,3049
