ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,117688171.0000,960000,20260617

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,21600.0000000000,3378
1812,KAJIMA CORP,JP3210200006,TSE,JPY,5300.0000000000,5899
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,2000.0000000000,4346
1944,KINDEN CORP,JP3263000006,TSE,JPY,7900.0000000000,7295
2001,NIPPN CORPORATION,JP3723000000,TSE,JPY,3900.0000000000,2676
2802,AJINOMOTO CO INC,JP3119600009,TSE,JPY,700.0000000000,5146
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,100.0000000000,94720
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,86200.0000000000,1740
3382,SEVEN & I HOLDINGS,JP3422950000,TSE,JPY,25500.0000000000,1912.5
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,5600.0000000000,8920
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,8500.0000000000,2313
4061,DENKA COMPANY LTD,JP3549600009,TSE,JPY,8600.0000000000,4202
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,15300.0000000000,7454
4403,NOF CORP,JP3753400005,TSE,JPY,1800.0000000000,2764
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,700.0000000000,11570
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,3500.0000000000,7523
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,21000.0000000000,2519.5
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,3300.0000000000,2575
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,23000.0000000000,2162.5
4684,OBIC CO LTD,JP3173400007,TSE,JPY,18000.0000000000,3827
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,10400.0000000000,3750
5334,NITERRA CO LTD,JP3738600000,TSE,JPY,600.0000000000,10315
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,13900.0000000000,7747
5802,SUMITOMO ELECTRIC,JP3407400005,TSE,JPY,700.0000000000,12320
5991,NHK SPRING CO LTD,JP3742600004,TSE,JPY,1000.0000000000,3694
6005,MIURA CO LTD,JP3880800002,TSE,JPY,4400.0000000000,3153
6055,JAPAN MATERIAL CO,JP3389680004,TSE,JPY,6800.0000000000,2396
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,22800.0000000000,10750
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,6400.0000000000,8239
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,400.0000000000,81550
6301,KOMATSU,JP3304200003,TSE,JPY,1100.0000000000,6650
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,900.0000000000,3910
6361,EBARA CORP,JP3166000004,TSE,JPY,6200.0000000000,6232
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,200.0000000000,23590
6383,DAIFUKU CO LTD,JP3497400006,TSE,JPY,500.0000000000,6881
6501,HITACHI,JP3788600009,TSE,JPY,6200.0000000000,4747
6504,FUJI ELECTRIC CO.,JP3820000002,TSE,JPY,2100.0000000000,14375
6702,FUJITSU,JP3818000006,TSE,JPY,8800.0000000000,3276
