ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,130571130.0000,930000,20260522

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,21600.0000000000,3885
1812,KAJIMA CORP,JP3210200006,TSE,JPY,5300.0000000000,5591
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,2000.0000000000,4453
2001,NIPPN CORPORATION,JP3723000000,TSE,JPY,5300.0000000000,2757
2802,AJINOMOTO CO INC,JP3119600009,TSE,JPY,700.0000000000,5176
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,100.0000000000,55340
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,69200.0000000000,1900
3382,SEVEN & I HOLDINGS,JP3422950000,TSE,JPY,25500.0000000000,1894.5
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,7300.0000000000,6780
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,21800.0000000000,1838
4046,OSAKA SODA CO LTD,JP3485900009,TSE,JPY,900.0000000000,1793
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,12800.0000000000,6857
4088,AIR WATER INC,JP3160670000,TSE,JPY,8900.0000000000,2546
4403,NOF CORP,JP3753400005,TSE,JPY,1800.0000000000,2771.5
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,4200.0000000000,8640
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,4500.0000000000,7836
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,21000.0000000000,2664.5
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,3300.0000000000,2341.5
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,23000.0000000000,1804.5
4684,OBIC CO LTD,JP3173400007,TSE,JPY,7800.0000000000,4156
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,6600.0000000000,3830
5334,NITERRA CO LTD,JP3738600000,TSE,JPY,600.0000000000,9608
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,10300.0000000000,7742
5801,FURUKAWA ELECTRIC,JP3827200001,TSE,JPY,100.0000000000,49280
5802,SUMITOMO ELECTRIC,JP3407400005,TSE,JPY,3100.0000000000,10730
5803,FUJIKURA,JP3811000003,TSE,JPY,600.0000000000,4501
5991,NHK SPRING CO LTD,JP3742600004,TSE,JPY,3100.0000000000,3252
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,22300.0000000000,9564
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,9500.0000000000,7585
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,500.0000000000,65650
6301,KOMATSU,JP3304200003,TSE,JPY,1100.0000000000,6164
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,900.0000000000,3495
6361,EBARA CORP,JP3166000004,TSE,JPY,600.0000000000,5036
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,700.0000000000,23675
6383,DAIFUKU CO LTD,JP3497400006,TSE,JPY,500.0000000000,6701
6501,HITACHI,JP3788600009,TSE,JPY,700.0000000000,5123
6504,FUJI ELECTRIC CO.,JP3820000002,TSE,JPY,2500.0000000000,15330
6702,FUJITSU,JP3818000006,TSE,JPY,1100.0000000000,3259
6750,ELECOM CO,JP3168200008,TSE,JPY,10300.0000000000,1665
6754,ANRITSU CORP,JP3128800004,TSE,JPY,800.0000000000,4468
6758,SONY GROUP CORPORA,JP3435000009,TSE,JPY,32000.0000000000,3554
6762,TDK CORP,JP3538800008,TSE,JPY,1300.0000000000,3141
6845,AZBIL CORP,JP3937200008,TSE,JPY,19700.0000000000,1565.5
6857,ADVANTEST CORP,JP3122400009,TSE,JPY,900.0000000000,26745
6861,KEYENCE CORP,JP3236200006,TSE,JPY,600.0000000000,76960
6951,JEOL LTD,JP3735000006,TSE,JPY,800.0000000000,6500
6954,FANUC CORP,JP3802400006,TSE,JPY,2200.0000000000,7667
6976,TAIYO YUDEN CO LTD,JP3452000007,TSE,JPY,4800.0000000000,8145
6981,MURATA MFG CO,JP3914400001,TSE,JPY,36500.0000000000,6727
7182,JAPAN POST BANK CO,JP3946750001,TSE,JPY,31700.0000000000,3193
7202,ISUZU MOTORS,JP3137200006,TSE,JPY,9400.0000000000,2211
7203,TOYOTA MOTOR CORP,JP3633400001,TSE,JPY,91300.0000000000,2978
7366,LITALICO INC,JP3974470001,TSE,JPY,11600.0000000000,1612
