ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,62688816.0000,930000,20260406

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,6000.0000000000,4675
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,2000.0000000000,5007
2001,NIPPN CORPORATION,JP3723000000,TSE,JPY,5300.0000000000,2755
2802,AJINOMOTO CO INC,JP3119600009,TSE,JPY,1300.0000000000,4612
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,800.0000000000,21850
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,46000.0000000000,1758
3382,SEVEN & I HOLDINGS,JP3422950000,TSE,JPY,25500.0000000000,2180
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,14700.0000000000,3715
3923,RAKUS CO LTD,JP3967170006,TSE,JPY,400.0000000000,760
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,27300.0000000000,1533
4046,OSAKA SODA CO LTD,JP3485900009,TSE,JPY,17300.0000000000,1730
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,6300.0000000000,6450
4071,PLUS ALPHA CONSULT,JP3832700003,TSE,JPY,600.0000000000,2103
4088,AIR WATER INC,JP3160670000,TSE,JPY,8900.0000000000,2199
4403,NOF CORP,JP3753400005,TSE,JPY,1800.0000000000,3238
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,4800.0000000000,7660
4516,NIPPON SHINYAKU CO,JP3717600005,TSE,JPY,6900.0000000000,5311
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,5100.0000000000,8779
4536,SANTEN PHARM CO,JP3336000009,TSE,JPY,11000.0000000000,1825.5
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,14500.0000000000,2863.5
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,4800.0000000000,2490
4617,CHUGOKU MAR PAINTS,JP3522600000,TSE,JPY,1400.0000000000,3475
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,23000.0000000000,1928
4684,OBIC CO LTD,JP3173400007,TSE,JPY,1500.0000000000,3940
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,4900.0000000000,3530
4812,DENTSU SOKEN INC,JP3551530003,TSE,JPY,5800.0000000000,2010
5334,NITERRA CO LTD,JP3738600000,TSE,JPY,600.0000000000,7516
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,7900.0000000000,9513
5801,FURUKAWA ELECTRIC,JP3827200001,TSE,JPY,2200.0000000000,35800
5802,SUMITOMO ELECTRIC,JP3407400005,TSE,JPY,5000.0000000000,9400
5803,FUJIKURA,JP3811000003,TSE,JPY,20900.0000000000,4616
5991,NHK SPRING CO LTD,JP3742600004,TSE,JPY,7900.0000000000,2499
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,22000.0000000000,6942
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,3500.0000000000,4916
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,900.0000000000,65650
6301,KOMATSU,JP3304200003,TSE,JPY,1100.0000000000,6493
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,900.0000000000,3035
6361,EBARA CORP,JP3166000004,TSE,JPY,5000.0000000000,4487
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,4400.0000000000,19765
6383,DAIFUKU CO LTD,JP3497400006,TSE,JPY,1900.0000000000,5881
6501,HITACHI,JP3788600009,TSE,JPY,700.0000000000,4811
6504,FUJI ELECTRIC CO.,JP3820000002,TSE,JPY,7000.0000000000,10790
6702,FUJITSU,JP3818000006,TSE,JPY,2700.0000000000,3273
6750,ELECOM CO,JP3168200008,TSE,JPY,10300.0000000000,1635
6754,ANRITSU CORP,JP3128800004,TSE,JPY,5000.0000000000,3002
