ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,149218095.0000,960000,20260814

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,21600.0000000000,3700
1812,KAJIMA CORP,JP3210200006,TSE,JPY,8500.0000000000,4868
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,5900.0000000000,4607
1944,KINDEN CORP,JP3263000006,TSE,JPY,6200.0000000000,6920
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,700.0000000000,51800
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,115200.0000000000,1862.5
3563,FOOD & LIFE COMPAN,JP3397150008,TSE,JPY,12200.0000000000,5789
3769,GMO PAYMENT GATEWA,JP3385890003,TSE,JPY,1900.0000000000,10185
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,6600.0000000000,7150
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,22800.0000000000,2171
4061,DENKA COMPANY LTD,JP3549600009,TSE,JPY,7900.0000000000,3586
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,8100.0000000000,6378
4403,NOF CORP,JP3753400005,TSE,JPY,7100.0000000000,2760
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,500.0000000000,15510
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,6700.0000000000,7175
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,18100.0000000000,2770
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,3300.0000000000,2958.5
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,5700.0000000000,1995.5
4684,OBIC CO LTD,JP3173400007,TSE,JPY,10800.0000000000,4610
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,13800.0000000000,4010
4919,MILBON CO LTD,JP3910650005,TSE,JPY,17000.0000000000,3210
5076,INFRONEER HLDGS IN,JP3153850007,TSE,JPY,13500.0000000000,2744
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,13900.0000000000,7974
5803,FUJIKURA,JP3811000003,TSE,JPY,7000.0000000000,5760
6005,MIURA CO LTD,JP3880800002,TSE,JPY,7000.0000000000,3165
6055,JAPAN MATERIAL CO,JP3389680004,TSE,JPY,8800.0000000000,2227
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,14400.0000000000,16790
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,9600.0000000000,8232
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,100.0000000000,65830
6278,UNION TOOL CO,JP3950600001,TSE,JPY,1100.0000000000,16700
6301,KOMATSU,JP3304200003,TSE,JPY,1100.0000000000,7362
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,900.0000000000,3250
6361,EBARA CORP,JP3166000004,TSE,JPY,12200.0000000000,5906
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,600.0000000000,21365
6501,HITACHI,JP3788600009,TSE,JPY,26300.0000000000,5702
6504,FUJI ELECTRIC CO.,JP3820000002,TSE,JPY,2200.0000000000,14970
6702,FUJITSU,JP3818000006,TSE,JPY,18000.0000000000,3750
6758,SONY GROUP CORPORA,JP3435000009,TSE,JPY,50600.0000000000,3700
6762,TDK CORP,JP3538800008,TSE,JPY,1300.0000000000,3235
6845,AZBIL CORP,JP3937200008,TSE,JPY,6700.0000000000,1572.5
6857,ADVANTEST CORP,JP3122400009,TSE,JPY,100.0000000000,35940
6861,KEYENCE CORP,JP3236200006,TSE,JPY,700.0000000000,86630
6871,MICRONICS JAPAN CO,JP3750400008,TSE,JPY,700.0000000000,14460
6951,JEOL LTD,JP3735000006,TSE,JPY,5000.0000000000,9002
6954,FANUC CORP,JP3802400006,TSE,JPY,15500.0000000000,6505
6961,ENPLAS CORP,JP3169800004,TSE,JPY,3200.0000000000,11200
6981,MURATA MFG CO,JP3914400001,TSE,JPY,17200.0000000000,8311
7182,JAPAN POST BANK CO,JP3946750001,TSE,JPY,4400.0000000000,3223
7202,ISUZU MOTORS,JP3137200006,TSE,JPY,23400.0000000000,2234.5
7203,TOYOTA MOTOR CORP,JP3633400001,TSE,JPY,89200.0000000000,2985
7366,LITALICO INC,JP3974470001,TSE,JPY,7800.0000000000,1799
7532,PAN PACIFIC INTL H,JP3639650005,TSE,JPY,64200.0000000000,926.3
7550,ZENSHO HOLDINGS,JP3429300001,TSE,JPY,6800.0000000000,11260
7730,MANI INC,JP3869920003,TSE,JPY,15000.0000000000,1604
7741,HOYA CORP,JP3837800006,TSE,JPY,2900.0000000000,26560
7747,ASAHI INTECC CO LT,JP3110650003,TSE,JPY,3100.0000000000,3912
7832,BANDAI NAMCO HLDGS,JP3778630008,TSE,JPY,4100.0000000000,5252
7936,ASICS CORP,JP3118000003,TSE,JPY,22400.0000000000,4766
8001,ITOCHU CORP,JP3143600009,TSE,JPY,13900.0000000000,2078
8002,MARUBENI CORP,JP3877600001,TSE,JPY,2700.0000000000,4972
8015,TOYOTA TSUSHO CORP,JP3635000007,TSE,JPY,9200.0000000000,7198
8035,TOKYO ELECTRON,JP3571400005,TSE,JPY,100.0000000000,59470
8053,SUMITOMO CORP,JP3404600003,TSE,JPY,26000.0000000000,1779.5
8111,GOLDWIN INC,JP3306600002,TSE,JPY,9200.0000000000,2133.5
8306,MITSUBISHI UFJ FIN,JP3902900004,TSE,JPY,6700.0000000000,3709
8750,DAIICHI LIFE GP,JP3476480003,TSE,JPY,19700.0000000000,1884
8766,TOKIO MARINE HLDG,JP3910660004,TSE,JPY,4500.0000000000,7622
8830,SUMITOMO RLTY&DEV,JP3409000001,TSE,JPY,12500.0000000000,3412
9697,CAPCOM CO LTD,JP3218900003,TSE,JPY,6600.0000000000,4028
9766,KONAMI GROUP CORP,JP3300200007,TSE,JPY,1500.0000000000,21235
