ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,81738813.0000,960000,20260714

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,21600.0000000000,3391
1812,KAJIMA CORP,JP3210200006,TSE,JPY,6300.0000000000,5627
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,2000.0000000000,4541
1944,KINDEN CORP,JP3263000006,TSE,JPY,4800.0000000000,7387
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,500.0000000000,67100
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,106900.0000000000,1950.5
3382,SEVEN & I HOLDINGS,JP3422950000,TSE,JPY,18900.0000000000,2013
3563,FOOD & LIFE COMPAN,JP3397150008,TSE,JPY,4600.0000000000,5078
3769,GMO PAYMENT GATEWA,JP3385890003,TSE,JPY,3800.0000000000,9706
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,5500.0000000000,7620
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,5500.0000000000,1861
4061,DENKA COMPANY LTD,JP3549600009,TSE,JPY,6800.0000000000,3838
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,14600.0000000000,7340
4403,NOF CORP,JP3753400005,TSE,JPY,7100.0000000000,2720
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,500.0000000000,10460
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,3500.0000000000,7230
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,21000.0000000000,2691.5
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,3300.0000000000,2661.5
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,5700.0000000000,1986.5
4684,OBIC CO LTD,JP3173400007,TSE,JPY,13400.0000000000,4187
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,16300.0000000000,3860
4919,MILBON CO LTD,JP3910650005,TSE,JPY,10000.0000000000,2773
5334,NITERRA CO LTD,JP3738600000,TSE,JPY,600.0000000000,10245
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,13900.0000000000,7827
5802,SUMITOMO ELECTRIC,JP3407400005,TSE,JPY,700.0000000000,2486
5991,NHK SPRING CO LTD,JP3742600004,TSE,JPY,1000.0000000000,3717
6005,MIURA CO LTD,JP3880800002,TSE,JPY,4400.0000000000,3210
6055,JAPAN MATERIAL CO,JP3389680004,TSE,JPY,5000.0000000000,2623
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,22600.0000000000,12350
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,6400.0000000000,7838
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,100.0000000000,70870
6301,KOMATSU,JP3304200003,TSE,JPY,1100.0000000000,6403
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,900.0000000000,3430
6361,EBARA CORP,JP3166000004,TSE,JPY,7200.0000000000,5908
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,600.0000000000,24990
6501,HITACHI,JP3788600009,TSE,JPY,14200.0000000000,4716
6504,FUJI ELECTRIC CO.,JP3820000002,TSE,JPY,2700.0000000000,12820
6702,FUJITSU,JP3818000006,TSE,JPY,18000.0000000000,3308
6758,SONY GROUP CORPORA,JP3435000009,TSE,JPY,49500.0000000000,3341
6762,TDK CORP,JP3538800008,TSE,JPY,1300.0000000000,3203
6845,AZBIL CORP,JP3937200008,TSE,JPY,6700.0000000000,1680
6857,ADVANTEST CORP,JP3122400009,TSE,JPY,300.0000000000,28820
6861,KEYENCE CORP,JP3236200006,TSE,JPY,300.0000000000,76700
6871,MICRONICS JAPAN CO,JP3750400008,TSE,JPY,1400.0000000000,16550
