ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,47668369.0000,960000,20260827

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,21600.0000000000,3837
1812,KAJIMA CORP,JP3210200006,TSE,JPY,8500.0000000000,4829
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,7400.0000000000,4717
1944,KINDEN CORP,JP3263000006,TSE,JPY,8200.0000000000,6950
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,700.0000000000,50000
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,115200.0000000000,1861
3563,FOOD & LIFE COMPAN,JP3397150008,TSE,JPY,12200.0000000000,5716
3769,GMO PAYMENT GATEWA,JP3385890003,TSE,JPY,1900.0000000000,9416
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,10200.0000000000,6310
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,28400.0000000000,2154
4061,DENKA COMPANY LTD,JP3549600009,TSE,JPY,10100.0000000000,3398
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,6500.0000000000,5967
4403,NOF CORP,JP3753400005,TSE,JPY,12100.0000000000,2785
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,500.0000000000,13720
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,6700.0000000000,7051
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,18100.0000000000,2900
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,2000.0000000000,2891
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,5700.0000000000,2027
4684,OBIC CO LTD,JP3173400007,TSE,JPY,8100.0000000000,4774
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,13800.0000000000,4120
4919,MILBON CO LTD,JP3910650005,TSE,JPY,17000.0000000000,3285
5076,INFRONEER HLDGS IN,JP3153850007,TSE,JPY,13500.0000000000,2800
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,13900.0000000000,7646
5803,FUJIKURA,JP3811000003,TSE,JPY,7000.0000000000,5305
6005,MIURA CO LTD,JP3880800002,TSE,JPY,7000.0000000000,3238
6055,JAPAN MATERIAL CO,JP3389680004,TSE,JPY,8800.0000000000,2035
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,14400.0000000000,17155
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,10400.0000000000,7275
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,100.0000000000,60610
6278,UNION TOOL CO,JP3950600001,TSE,JPY,1100.0000000000,14440
6301,KOMATSU,JP3304200003,TSE,JPY,1100.0000000000,7440
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,900.0000000000,3265
6361,EBARA CORP,JP3166000004,TSE,JPY,12200.0000000000,4959
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,600.0000000000,20985
6480,NIPPON THOMPSON CO,JP3739400004,TSE,JPY,21500.0000000000,1773
6501,HITACHI,JP3788600009,TSE,JPY,34800.0000000000,5307
6504,FUJI ELECTRIC CO.,JP3820000002,TSE,JPY,2200.0000000000,13965
6702,FUJITSU,JP3818000006,TSE,JPY,18000.0000000000,3716
6758,SONY GROUP CORPORA,JP3435000009,TSE,JPY,50600.0000000000,3878
6762,TDK CORP,JP3538800008,TSE,JPY,1300.0000000000,3031
6845,AZBIL CORP,JP3937200008,TSE,JPY,6700.0000000000,1523.5
6857,ADVANTEST CORP,JP3122400009,TSE,JPY,100.0000000000,35700
6861,KEYENCE CORP,JP3236200006,TSE,JPY,700.0000000000,81500
6871,MICRONICS JAPAN CO,JP3750400008,TSE,JPY,700.0000000000,13540
6951,JEOL LTD,JP3735000006,TSE,JPY,5000.0000000000,7183
6954,FANUC CORP,JP3802400006,TSE,JPY,15500.0000000000,6023
6961,ENPLAS CORP,JP3169800004,TSE,JPY,3200.0000000000,10030
6981,MURATA MFG CO,JP3914400001,TSE,JPY,18600.0000000000,7185
