ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,190454333.0000,1051000,20260914

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,23600.0000000000,3930
1812,KAJIMA CORP,JP3210200006,TSE,JPY,15500.0000000000,4897
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,10800.0000000000,4598
1944,KINDEN CORP,JP3263000006,TSE,JPY,12800.0000000000,6756
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,1000.0000000000,54030
3038,KOBE BUSSAN CO LTD,JP3291200008,TSE,JPY,17100.0000000000,2965.5
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,113600.0000000000,1906.5
3563,FOOD & LIFE COMPAN,JP3397150008,TSE,JPY,13200.0000000000,5171
3769,GMO PAYMENT GATEWA,JP3385890003,TSE,JPY,2700.0000000000,8293
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,5400.0000000000,6200
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,28400.0000000000,1830
4061,DENKA COMPANY LTD,JP3549600009,TSE,JPY,8300.0000000000,3286
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,4600.0000000000,5738
4403,NOF CORP,JP3753400005,TSE,JPY,12100.0000000000,2599
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,500.0000000000,12480
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,6700.0000000000,6422
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,17000.0000000000,2772
4661,ORIENTAL LAND CO,JP3198900007,TSE,JPY,25700.0000000000,3085
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,10800.0000000000,1950
4684,OBIC CO LTD,JP3173400007,TSE,JPY,19800.0000000000,4893
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,16400.0000000000,4270
4919,MILBON CO LTD,JP3910650005,TSE,JPY,17000.0000000000,3130
5076,INFRONEER HLDGS IN,JP3153850007,TSE,JPY,18000.0000000000,2768
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,12600.0000000000,6966
5803,FUJIKURA,JP3811000003,TSE,JPY,3600.0000000000,4982
6005,MIURA CO LTD,JP3880800002,TSE,JPY,7000.0000000000,3005
6055,JAPAN MATERIAL CO,JP3389680004,TSE,JPY,8800.0000000000,2088
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,10900.0000000000,15500
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,5400.0000000000,6705
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,100.0000000000,51980
6278,UNION TOOL CO,JP3950600001,TSE,JPY,1100.0000000000,12530
6301,KOMATSU,JP3304200003,TSE,JPY,1100.0000000000,7114
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,900.0000000000,3255
6361,EBARA CORP,JP3166000004,TSE,JPY,12200.0000000000,4247
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,600.0000000000,20780
