ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,27173699.0000,960000,20260904

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,21600.0000000000,3889
1812,KAJIMA CORP,JP3210200006,TSE,JPY,9200.0000000000,4922
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,7400.0000000000,4766
1944,KINDEN CORP,JP3263000006,TSE,JPY,8200.0000000000,7073
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,900.0000000000,51670
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,115200.0000000000,1869
3563,FOOD & LIFE COMPAN,JP3397150008,TSE,JPY,12200.0000000000,5913
3769,GMO PAYMENT GATEWA,JP3385890003,TSE,JPY,1900.0000000000,8839
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,11300.0000000000,6210
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,28400.0000000000,1927
4061,DENKA COMPANY LTD,JP3549600009,TSE,JPY,10100.0000000000,3262
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,4600.0000000000,5859
4403,NOF CORP,JP3753400005,TSE,JPY,12100.0000000000,2671
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,500.0000000000,12830
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,6700.0000000000,6878
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,15200.0000000000,2854.5
4661,ORIENTAL LAND CO,JP3198900007,TSE,JPY,13400.0000000000,3101
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,5700.0000000000,2019.5
4684,OBIC CO LTD,JP3173400007,TSE,JPY,8100.0000000000,5068
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,16400.0000000000,4260
4919,MILBON CO LTD,JP3910650005,TSE,JPY,17000.0000000000,3200
5076,INFRONEER HLDGS IN,JP3153850007,TSE,JPY,13500.0000000000,2755.5
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,13900.0000000000,7288
5803,FUJIKURA,JP3811000003,TSE,JPY,3600.0000000000,4951
6005,MIURA CO LTD,JP3880800002,TSE,JPY,7000.0000000000,3187
6055,JAPAN MATERIAL CO,JP3389680004,TSE,JPY,8800.0000000000,2124
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,13600.0000000000,16435
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,9200.0000000000,6853
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,100.0000000000,54040
6278,UNION TOOL CO,JP3950600001,TSE,JPY,1100.0000000000,13330
