ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,57764016.0000,930000,20260410

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,6000.0000000000,4230
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,2000.0000000000,4988
2001,NIPPN CORPORATION,JP3723000000,TSE,JPY,5300.0000000000,2752
2802,AJINOMOTO CO INC,JP3119600009,TSE,JPY,1300.0000000000,4713
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,800.0000000000,27700
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,52000.0000000000,1813.5
3382,SEVEN & I HOLDINGS,JP3422950000,TSE,JPY,25500.0000000000,2096.5
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,15000.0000000000,4060
3923,RAKUS CO LTD,JP3967170006,TSE,JPY,400.0000000000,795.3
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,28300.0000000000,1621
4046,OSAKA SODA CO LTD,JP3485900009,TSE,JPY,17300.0000000000,1890
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,6300.0000000000,6506
4071,PLUS ALPHA CONSULT,JP3832700003,TSE,JPY,600.0000000000,2094
4088,AIR WATER INC,JP3160670000,TSE,JPY,8900.0000000000,2259.5
4403,NOF CORP,JP3753400005,TSE,JPY,1800.0000000000,3269
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,5600.0000000000,8280
4516,NIPPON SHINYAKU CO,JP3717600005,TSE,JPY,6900.0000000000,5243
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,5100.0000000000,8775
4536,SANTEN PHARM CO,JP3336000009,TSE,JPY,11000.0000000000,1897
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,14500.0000000000,2806.5
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,4800.0000000000,2500
4617,CHUGOKU MAR PAINTS,JP3522600000,TSE,JPY,1400.0000000000,3440
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,23000.0000000000,1981.5
4684,OBIC CO LTD,JP3173400007,TSE,JPY,1500.0000000000,3977
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,4900.0000000000,3615
4812,DENTSU SOKEN INC,JP3551530003,TSE,JPY,5800.0000000000,2052
5334,NITERRA CO LTD,JP3738600000,TSE,JPY,600.0000000000,8017
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,7900.0000000000,9894
5801,FURUKAWA ELECTRIC,JP3827200001,TSE,JPY,1000.0000000000,44640
