ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,186617539.0000,930000,20260423

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,19300.0000000000,3807
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,2000.0000000000,4838
2001,NIPPN CORPORATION,JP3723000000,TSE,JPY,5300.0000000000,2614
2802,AJINOMOTO CO INC,JP3119600009,TSE,JPY,1300.0000000000,4658
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,100.0000000000,34800
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,69200.0000000000,1874.5
3382,SEVEN & I HOLDINGS,JP3422950000,TSE,JPY,25500.0000000000,1982.5
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,15100.0000000000,4480
3923,RAKUS CO LTD,JP3967170006,TSE,JPY,7200.0000000000,894.8
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,31900.0000000000,1705
4046,OSAKA SODA CO LTD,JP3485900009,TSE,JPY,2500.0000000000,1852
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,6300.0000000000,6642
4071,PLUS ALPHA CONSULT,JP3832700003,TSE,JPY,2900.0000000000,2161
4088,AIR WATER INC,JP3160670000,TSE,JPY,8900.0000000000,2223.5
4403,NOF CORP,JP3753400005,TSE,JPY,1800.0000000000,3126
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,5600.0000000000,7840
4516,NIPPON SHINYAKU CO,JP3717600005,TSE,JPY,6900.0000000000,5021
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,2200.0000000000,8760
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,21000.0000000000,2843.5
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,3300.0000000000,2389.5
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,23000.0000000000,1974
4684,OBIC CO LTD,JP3173400007,TSE,JPY,3700.0000000000,4582
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,4900.0000000000,3635
5334,NITERRA CO LTD,JP3738600000,TSE,JPY,600.0000000000,8544
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,9400.0000000000,9490
