ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,30082873.0000,960000,20260730

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,21600.0000000000,3616
1812,KAJIMA CORP,JP3210200006,TSE,JPY,8500.0000000000,5397
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,2000.0000000000,4909
1944,KINDEN CORP,JP3263000006,TSE,JPY,6200.0000000000,7202
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,2800.0000000000,38380
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,114000.0000000000,2081.5
3563,FOOD & LIFE COMPAN,JP3397150008,TSE,JPY,4600.0000000000,5846
3769,GMO PAYMENT GATEWA,JP3385890003,TSE,JPY,3100.0000000000,10265
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,8500.0000000000,5440
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,3500.0000000000,1611
4061,DENKA COMPANY LTD,JP3549600009,TSE,JPY,4900.0000000000,3255
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,14600.0000000000,5690
4403,NOF CORP,JP3753400005,TSE,JPY,7100.0000000000,2825.5
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,500.0000000000,8830
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,6700.0000000000,7069
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,19100.0000000000,2886.5
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,3300.0000000000,2864
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,5700.0000000000,2068
4684,OBIC CO LTD,JP3173400007,TSE,JPY,9700.0000000000,4752
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,15400.0000000000,4065
4919,MILBON CO LTD,JP3910650005,TSE,JPY,10000.0000000000,2931
5076,INFRONEER HLDGS IN,JP3153850007,TSE,JPY,13500.0000000000,2635
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,13900.0000000000,7223
6005,MIURA CO LTD,JP3880800002,TSE,JPY,4400.0000000000,3162
6055,JAPAN MATERIAL CO,JP3389680004,TSE,JPY,8800.0000000000,1983
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,14400.0000000000,13100
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,10700.0000000000,6537
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,100.0000000000,51320
6301,KOMATSU,JP3304200003,TSE,JPY,1100.0000000000,7265
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,900.0000000000,3070
6361,EBARA CORP,JP3166000004,TSE,JPY,7700.0000000000,4871
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,600.0000000000,23850
6501,HITACHI,JP3788600009,TSE,JPY,26300.0000000000,4957
6504,FUJI ELECTRIC CO.,JP3820000002,TSE,JPY,2200.0000000000,12045
6702,FUJITSU,JP3818000006,TSE,JPY,18000.0000000000,3844
6758,SONY GROUP CORPORA,JP3435000009,TSE,JPY,50600.0000000000,3809
6762,TDK CORP,JP3538800008,TSE,JPY,1300.0000000000,2746
6845,AZBIL CORP,JP3937200008,TSE,JPY,6700.0000000000,1643
6857,ADVANTEST CORP,JP3122400009,TSE,JPY,100.0000000000,25200
6861,KEYENCE CORP,JP3236200006,TSE,JPY,700.0000000000,77590
6871,MICRONICS JAPAN CO,JP3750400008,TSE,JPY,1600.0000000000,11250
6951,JEOL LTD,JP3735000006,TSE,JPY,8300.0000000000,7676
6954,FANUC CORP,JP3802400006,TSE,JPY,15500.0000000000,6463
6981,MURATA MFG CO,JP3914400001,TSE,JPY,36200.0000000000,6231
7182,JAPAN POST BANK CO,JP3946750001,TSE,JPY,4400.0000000000,3216
7202,ISUZU MOTORS,JP3137200006,TSE,JPY,13900.0000000000,2470.5
7203,TOYOTA MOTOR CORP,JP3633400001,TSE,JPY,92300.0000000000,3224
7366,LITALICO INC,JP3974470001,TSE,JPY,7800.0000000000,1609
7532,PAN PACIFIC INTL H,JP3639650005,TSE,JPY,64200.0000000000,964.6
7550,ZENSHO HOLDINGS,JP3429300001,TSE,JPY,3200.0000000000,10325
7730,MANI INC,JP3869920003,TSE,JPY,8800.0000000000,1525
7741,HOYA CORP,JP3837800006,TSE,JPY,2900.0000000000,23765
7747,ASAHI INTECC CO LT,JP3110650003,TSE,JPY,1100.0000000000,3700
7832,BANDAI NAMCO HLDGS,JP3778630008,TSE,JPY,5400.0000000000,4747
7936,ASICS CORP,JP3118000003,TSE,JPY,22400.0000000000,4800
8001,ITOCHU CORP,JP3143600009,TSE,JPY,13900.0000000000,2043
8002,MARUBENI CORP,JP3877600001,TSE,JPY,2700.0000000000,5205
8015,TOYOTA TSUSHO CORP,JP3635000007,TSE,JPY,9200.0000000000,6577
8035,TOKYO ELECTRON,JP3571400005,TSE,JPY,100.0000000000,50000
