ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,152195775.0000,960000,20260727

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORPORATION,JP3294460005,TSE,JPY,21600.0000000000,3761
1812,KAJIMA CORP,JP3210200006,TSE,JPY,6300.0000000000,5580
1925,DAIWA HOUSE INDS,JP3505000004,TSE,JPY,2000.0000000000,4579
1944,KINDEN CORP,JP3263000006,TSE,JPY,4800.0000000000,7474
285A,KIOXIA HLDGS CORP,JP3236330001,TSE,JPY,1400.0000000000,56010
3064,MONOTARO CO.LTD,JP3922950005,TSE,JPY,114000.0000000000,1867
3382,SEVEN & I HOLDINGS,JP3422950000,TSE,JPY,5200.0000000000,2146
3563,FOOD & LIFE COMPAN,JP3397150008,TSE,JPY,4600.0000000000,5428
3769,GMO PAYMENT GATEWA,JP3385890003,TSE,JPY,3800.0000000000,9381
3891,NIPPON KODOSHI,JP3707000000,TSE,JPY,6800.0000000000,7130
4022,RASA INDUSTRIES,JP3967400007,TSE,JPY,3500.0000000000,1885
4061,DENKA COMPANY LTD,JP3549600009,TSE,JPY,4900.0000000000,3693
4063,SHIN-ETSU CHEMICAL,JP3371200001,TSE,JPY,14600.0000000000,6702
4403,NOF CORP,JP3753400005,TSE,JPY,7100.0000000000,2749
4461,DKS CO. LTD.,JP3475000000,TSE,JPY,500.0000000000,10500
4519,CHUGAI PHARM CO,JP3519400000,TSE,JPY,3500.0000000000,7416
4568,DAIICHI SANKYO COM,JP3475350009,TSE,JPY,19100.0000000000,2799.5
4613,KANSAI PAINT CO,JP3229400001,TSE,JPY,3300.0000000000,2661.5
4666,PARK 24 CO LTD,JP3780100008,TSE,JPY,5700.0000000000,1950
4684,OBIC CO LTD,JP3173400007,TSE,JPY,13400.0000000000,4192
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,16300.0000000000,3725
4919,MILBON CO LTD,JP3910650005,TSE,JPY,10000.0000000000,2785
5631,JAPAN STEEL WORKS,JP3721400004,TSE,JPY,13900.0000000000,7756
6005,MIURA CO LTD,JP3880800002,TSE,JPY,4400.0000000000,3199
6055,JAPAN MATERIAL CO,JP3389680004,TSE,JPY,8800.0000000000,2238
6098,RECRUIT HLDGS CO L,JP3970300004,TSE,JPY,14400.0000000000,12055
6134,FUJI CORPORATION,JP3809200003,TSE,JPY,6200.0000000000,7428
6146,DISCO CORPORATION,JP3548600000,TSE,JPY,100.0000000000,60890
6301,KOMATSU,JP3304200003,TSE,JPY,1100.0000000000,6642
6331,MITSUBISHI KAKOKI,JP3896000001,TSE,JPY,900.0000000000,3395
6361,EBARA CORP,JP3166000004,TSE,JPY,7700.0000000000,5681
6367,DAIKIN INDUSTRIES,JP3481800005,TSE,JPY,600.0000000000,23880
6501,HITACHI,JP3788600009,TSE,JPY,23200.0000000000,4850
6504,FUJI ELECTRIC CO.,JP3820000002,TSE,JPY,2200.0000000000,12925
6702,FUJITSU,JP3818000006,TSE,JPY,18000.0000000000,3279
6758,SONY GROUP CORPORA,JP3435000009,TSE,JPY,50600.0000000000,3409
6762,TDK CORP,JP3538800008,TSE,JPY,1300.0000000000,3021
6845,AZBIL CORP,JP3937200008,TSE,JPY,6700.0000000000,1634.5
6857,ADVANTEST CORP,JP3122400009,TSE,JPY,100.0000000000,28945
6861,KEYENCE CORP,JP3236200006,TSE,JPY,500.0000000000,71820
6871,MICRONICS JAPAN CO,JP3750400008,TSE,JPY,1600.0000000000,15360
6951,JEOL LTD,JP3735000006,TSE,JPY,8300.0000000000,8194
6954,FANUC CORP,JP3802400006,TSE,JPY,15500.0000000000,6624
6981,MURATA MFG CO,JP3914400001,TSE,JPY,32100.0000000000,8311
7182,JAPAN POST BANK CO,JP3946750001,TSE,JPY,4400.0000000000,3442
7202,ISUZU MOTORS,JP3137200006,TSE,JPY,13900.0000000000,2272
7203,TOYOTA MOTOR CORP,JP3633400001,TSE,JPY,94800.0000000000,2897
7366,LITALICO INC,JP3974470001,TSE,JPY,7800.0000000000,1593
7532,PAN PACIFIC INTL H,JP3639650005,TSE,JPY,83600.0000000000,862.7
7550,ZENSHO HOLDINGS,JP3429300001,TSE,JPY,3400.0000000000,9127
7730,MANI INC,JP3869920003,TSE,JPY,8800.0000000000,1533
7741,HOYA CORP,JP3837800006,TSE,JPY,2300.0000000000,24560
7747,ASAHI INTECC CO LT,JP3110650003,TSE,JPY,1100.0000000000,3379
7832,BANDAI NAMCO HLDGS,JP3778630008,TSE,JPY,10400.0000000000,4111
7936,ASICS CORP,JP3118000003,TSE,JPY,22400.0000000000,4793
8001,ITOCHU CORP,JP3143600009,TSE,JPY,15600.0000000000,1957.5
8002,MARUBENI CORP,JP3877600001,TSE,JPY,2700.0000000000,5370
8015,TOYOTA TSUSHO CORP,JP3635000007,TSE,JPY,9200.0000000000,6425
8035,TOKYO ELECTRON,JP3571400005,TSE,JPY,100.0000000000,62660
8053,SUMITOMO CORP,JP3404600003,TSE,JPY,26000.0000000000,1604
8111,GOLDWIN INC,JP3306600002,TSE,JPY,16400.0000000000,2301
8306,MITSUBISHI UFJ FIN,JP3902900004,TSE,JPY,6700.0000000000,3754
